bpm,rmssd,cdf(rmssd),root,I(rmssd)
94.461,43.694,0.56,2,6.398
164.051,86.111,0.923,11,7.847
81.479,88.124,0.931,9,7.974
102.335,11.867,0.21,3,6.851
93.651,46.334,0.591,0,6.42
78.956,91.849,0.945,0,8.223
49.259,91.251,0.943,7,8.182
60.42,22.906,0.317,2,6.544
80.379,118.481,0.992,7,10.53
58.916,43.77,0.561,7,6.399
87.832,20.616,0.293,11,6.595
70.799,27.889,0.373,9,6.458
61.082,25.534,0.346,6,6.495
117.916,56.873,0.708,6,6.597
115.577,21.517,0.303,0,6.574
61.98,110.193,0.984,9,9.713
58.28,147.454,0.999,7,14.09
63.924,39.207,0.506,7,6.382
51.367,123.594,0.995,0,11.079
62.629,180.713,1.0,6,19.525
70.427,104.116,0.975,0,9.171
60.272,87.508,0.929,7,7.934
69.342,23.296,0.322,11,6.537
67.584,81.45,0.901,7,7.573
71.956,99.629,0.966,0,8.801
79.253,23.204,0.321,7,6.538
75.445,25.476,0.346,9,6.496
85.272,13.225,0.222,11,6.805
66.615,38.818,0.501,7,6.382
52.453,83.055,0.909,7,7.664
89.673,24.465,0.334,2,6.514
82.298,52.692,0.663,7,6.509
68.863,34.111,0.445,0,6.396
84.047,44.444,0.569,2,6.403
93.569,199.026,1.0,7,23.133
122.449,337.416,1.0,7,64.533
84.477,16.686,0.254,2,6.698
124.547,348.201,1.0,11,68.808
51.923,45.304,0.579,2,6.41
85.601,11.249,0.205,2,6.873
85.885,14.109,0.23,3,6.776
71.019,30.911,0.407,11,6.421
83.633,70.651,0.832,0,7.047
62.528,120.049,0.993,0,10.694
82.346,23.171,0.32,7,6.539
68.528,26.041,0.352,9,6.486
59.614,54.451,0.682,11,6.544
60.864,71.747,0.84,0,7.094
139.58,547.222,1.0,7,174.905
68.047,44.34,0.567,0,6.403
58.457,142.902,0.999,7,13.458
71.18,112.402,0.987,0,9.922
92.078,48.541,0.616,7,6.445
60.568,87.039,0.927,0,7.905
119.461,346.332,1.0,6,68.056
55.142,43.361,0.556,0,6.396
59.271,16.054,0.248,3,6.716
72.861,132.323,0.998,11,12.094
80.0,80.429,0.895,0,7.517
79.038,119.66,0.993,7,10.653
77.108,69.979,0.826,0,7.02
81.433,88.549,0.933,0,8.001
74.085,48.868,0.62,0,6.449
78.474,20.223,0.289,7,6.604
110.602,20.671,0.294,9,6.594
96.861,127.488,0.996,11,11.519
67.712,13.418,0.224,2,6.798
110.345,11.691,0.208,11,6.857
109.812,11.49,0.207,9,6.864
65.911,45.966,0.586,4,6.416
58.457,175.933,1.0,7,18.655
73.153,80.349,0.895,0,7.512
54.085,35.897,0.466,4,6.387
68.79,38.44,0.497,7,6.382
67.882,44.905,0.574,11,6.407
64.478,80.236,0.894,0,7.506
72.683,56.649,0.705,0,6.592
79.499,29.885,0.396,0,6.433
